Qui a inventé la première ampoule electrique ?;Thomas Edison
Quelle est la molécule responsable de l'absorption de la lumière dans les plantes ?;La chlorophylle
Qui a développé la théorie de la relativité générale ?;Albert Einstein
Quelle est la distance entre la Terre et la lune ?;	384400km
Quel est l'élément chimique le plus lourd naturellement présent sur terre ?;l'uranium
Qui a découvert la pénicilinne ?;Alexander Fleming
Quel est le processus par lequel les cellules se divisent en 2 cellules identiques ?;la mitose
Quelle unité est utilisée pour mesurer la fréquence d'une onde ?;Hertz
Quel phénomène explique la déviation de la lumière lorsqu'elle traverse des milieux différents ?;réfraction
Quelle est la planète la plus proche du soleil ?;mercure
Quelle vitamine est principalement obtenue à partir de l'exposition au soleil ?;D
Quel est le principal glucide présent dans le riz ?;Amidon
Quel est le nom de la molécule qui transporte l'oxygène dans le sang ?;L'hémoglobine
Quel type de roche est formé par la solidification du magma ?;Les roches ignées
Quel est l'élément chimique le plus abondant dans l'univers ?;hydrogène
