Quel est le nom complet de l'équipe de NBA surnomée les "Lakers" ?;Los Angeles Lakers
Qui est l'athlete le plus décorré de l'histoire des JO d'été avec 23 médailles d'or, 3 d'argent et 2 de bronze ?;Michael Phelps
Quelle est la distance officielle exacte d'un marathon ?;42,195km
Quelle équipe a remportée la coupe du monde de foot masculin en 2006 ?;Italie
Quel joueur de tennis a remporté le plus de fois Wimbledon ?;Roger Federer
Quel circuit de F1 possède le plus long tour en terme de distance ?;Spa-Francorchamps, Belgique
De quoi est composé un triathlon ?;1,5 km de natation, 40 km de cyclisme et 10 km de course à pied
Quel joueur de football a remporté le plus de Ballons d'Or ?;Lionel Messi
Quelle nation a remporté le plus de médailles d'or aux Jeux olympiques d'hiver depuis 1924 ?;Norvège
Quel est le sport national au Japon ?;sumo
Quel maillot porte le leader du classement général du Tour de France ?;Jaune
Quel est le plus grand stade de football en termes de capacité dans le monde ?;Stade du Premier-Mai, corée du nord
Quels sont les 4 sports qui ont été ajoutés aux JO 2024 par la France ?;skateboard, escalade, surf, breaking
Qui est le premier coureur de F1 à avoir remporté 100 Grands Prix ?;Lewis Hamilton
Quelle est la taille d'un terrain de volleyball ?;16x8
