Qui était le premier président des États-Unis ?;George Washington
Quel explorateur a mené le premier voyage autour du monde au XVIe siècle ?;Ferdinand Magellan
Qui était la reine célèbre pour sa liaison avec Marc Antoine et Jules César ?;Cleopatre
Quelle ancienne civilisation a construit la cité de Machu Picchu au Pérou ?;Inca
Combien de temps a durée la guerre de cent ans ?;116 ans
En quelle année Neil Armstrong a t il posé le pied sur la Lune ?;1969
Quelle épidémie a balayé l'Europe au XIVe siècle, provoquant la mort de millions de personnes ?;la peste noir
Quelle bataille a marqué la fin de l'Empire napoléonien en 1815 ?;Waterloo
Quel traité a mis fin à la Première Guerre mondiale ?;Le traité de Versailles
Quel a été le premier pays envahi par l'allemagne lors de la seconde guerre mondiale;Pologne
Quel roi anglais a été connu pour avoir eu six épouses ?;Henri VIII
Quel pharaon égyptien est célèbre pour son tombeau découvert presque intact en 1922 ?;Toutânkhamon
Qui a fondé l'Empire mongol au XIIIe siècle ?;Gengis Khan
Qui a été la première femme à recevoir un prix Nobel en 1903 ?;Marie Curie
Qui a inventé l'imprimerie à caractères mobiles en Europe au XVe siècle ?;Johannes Gutenberg
